0 130816 0
1 -256 618.039
2 -256 256
3 -256 106.039
4 -256 0
5 -256 -106.039
6 -256 -256
7 -256 -618.039
8 -2048 4944.31
16 -2048 2048
24 -2048 848.309
32 -2048 0
40 -2048 -848.309
48 -2048 -2048
56 -2048 -4944.31
64 -16384 39554.5
128 -16384 16384
192 -16384 6786.48
256 -16384 0
320 -16384 -6786.48
384 -16384 -16384
448 -16384 -39554.5
